SHIP_TO_CITY_CD,RMB_DOLLARS,SHIP_TO_CITY_CD_ENG,PROVINCE,PER_CAPITA_USD,normalized_sales,cluster
七台河,340006.23000000004,Qitaihe,Heilongjiang,3986,-0.3554672479535907,2
万宁,109412.42,,,,-0.3736888410848845,2
三亚,783431.9600000001,Sanya,Hainan,12261,-0.32042761165109446,2
三明,1239542.6,Sanming,Fujian,17004,-0.2843856098951323,2
三门峡,1157131.95,Sanmenxia,Henan,8867,-0.29089772456978663,2
上海,130980218.12,Shanghai,Shanghai,27001,9.967762103456955,1
上饶,2582832.65,,,,-0.17823842082524674,2
东方,76186.73,Eastern,Eastern,,-0.3763143452330075,2
东莞,17134360.71,Dongguan,Guangdong,16010,0.971627760525955,0
东营,2673596.77,Dongying,Shandong,29006,-0.17106621240577563,2
中卫,80080.54000000001,Zhongwei,Zhongwei,4473,-0.37600665518031023,2
中山,4650609.12,中山,中山,,-0.014842094086021265,2
临夏回族自治州,125915.94,Linxia Hui Autonomous Prefecture,Gansu,1690,-0.37238472790563576,2
临汾,1391162.1,Linfen,Shanxi,6056,-0.27240459080459295,2
临沂,10440611.9,Linyi,Shandong,6730,0.44268568988276713,0
临沧,151930.1,Lincang,Yunnan,6596,-0.3703290810555648,2
临高县,76716.81,Lingao County,Hainan,,-0.3762724581498849,2
丹东,1729684.82,Dandong,Liaoning,6549,-0.24565442231768134,2
丽水,3719857.7600000002,,,,-0.08839035016591487,2
丽江,280456.66000000003,Lijiang,Yunnan,7340,-0.3601728731205607,2
乌兰察布,408253.17000000004,Ulanqab,Ulanqab,6939,-0.35007435395901293,2
乌海,299437.21,Wuhai,Wuhai,,-0.35867302427592707,2
乌鲁木齐,4302154.58,Ürümqi,Ürümqi,14200,-0.042377078015694535,2
乐东黎族自治县,32384.96,Ledong Li Autonomous County,Hainan,,-0.37977557444540705,2
乐山,1064832.69,Leshan,Sichuan,6418,-0.29819124021983595,2
九江,1983740.47,Jiujiang,Jiangxi,6343,-0.22557886744044348,2
云浮,697571.76,Yunfu,Guangdong,7391,-0.327212310817874,2
五家渠,17520.36,Wujiaqu,Wujiaqu,,-0.38095017966685435,2
五指山,33270.8,Wuzhishan,Wuzhishan,,-0.37970557509867947,2
亳州,1622285.1500000001,Bozhou,Anhui,6133,-0.2541411769672325,2
仙桃,541315.13,,,,-0.33955975733401034,2
伊春,570823.97,"Yichun, Heilongjiang",Heilongjiang,3265,-0.33722795980546244,2
伊犁哈萨克自治州,301204.48,Ili Kazakh Autonomous Prefecture,Ili Kazakh Autonomous Prefecture,6858,-0.35853337406201563,2
佛山,13635374.0,Foshan,Guangdong,19699,0.6951367645125573,0
佳木斯,1797266.59,Jiamusi,Heilongjiang,5771,-0.24031409025918998,2
保亭黎族苗族自治县,34155.75,Baoting Li and Miao Autonomous County,Hainan,,-0.3796356460800231,2
保定,6483403.53,Baoding,Hebei,,0.12998587866975053,2
保山,384276.15,"Baoshan, Yunnan",Yunnan,7734,-0.3519690253855394,2
信阳,1589601.98,Xinyang,Henan,4777,-0.2567238110196423,2
儋州,167416.82,Danzhou,Hainan,13292,-0.36910531572214894,2
